icao,date,avg_temp_c,avg_dewpoint_c,avg_rh,avg_wind_kts
CYAM,2025-09-05,11.555555555555555,6.888888888888889,73.88888888888889,14.333333333333334
CYAT,2025-09-05,9.214285714285714,8.071428571428571,93.21428571428571,4.642857142857143
CYBC,2025-09-05,19,15.5,80.5,4.5
CYBK,2025-09-05,7,2.5,73.5,13
CYBR,2025-09-05,12.5,5,61,16.5
CYCO,2025-09-05,19.5,6,41.5,9.5
CYEG,2025-09-05,22.5,0.5,23.5,9
CYER,2025-09-05,8.545454545454545,7.909090909090909,96.0909090909091,11.181818181818182
CYFB,2025-09-05,4,-0.5,72.5,15
CYFC,2025-09-05,21.5,14,63,10
CYGK,2025-09-05,22,15.6,67.4,14.8
CYHU,2025-09-05,24,13.5,52,12.5
CYHZ,2025-09-05,19.333333333333332,19,98,8
CYLW,2025-09-05,26.5,9,33,3.5
CYMM,2025-09-05,19.5,7,44.5,6.5
CYMO,2025-09-05,11.916666666666666,10.916666666666666,94,10.75
CYOW,2025-09-05,22.4,10.8,48.2,16.6
CYPL,2025-09-05,5.25,4.5,94.75,9.166666666666666
CYQA,2025-09-05,16.75,11.666666666666666,73.58333333333333,12.5
CYQB,2025-09-05,22.5,12.5,54,0
CYQF,2025-09-05,21.5,3.5,31,9
CYQG,2025-09-05,22,7.8,40.2,19.4
CYQM,2025-09-05,26,12,41.5,11.5
CYQQ,2025-09-05,22,15.5,67,5
CYQR,2025-09-05,14,3.5,49.5,11
CYQT,2025-09-05,10.5,4.5,66.83333333333333,15.666666666666666
CYQY,2025-09-05,20,16.5,80.5,8.5
CYRB,2025-09-05,-2,-4,86,15
CYRJ,2025-09-05,19,9.5,54,7
CYRT,2025-09-05,7,4,81,16
CYSB,2025-09-05,12.857142857142858,8.428571428571429,75.85714285714286,17
CYTS,2025-09-05,10.7,9.2,90.9,11.1
CYUL,2025-09-05,25,11.5,43,12.5
CYUY,2025-09-05,11.666666666666666,9.666666666666666,88,21.666666666666668
CYVO,2025-09-05,13,11.5,91,12
CYVR,2025-09-05,21.5,19,85.5,5
CYVV,2025-09-05,15.375,10.75,74.25,15.125
CYWG,2025-09-05,16,1.5,37.5,19.5
CYXE,2025-09-05,16,3.5,43.5,7.5
CYXS,2025-09-05,22,12,53,1.5
CYXT,2025-09-05,23.5,15,59,1
CYXY,2025-09-05,23.5,8.5,38.5,14.5
CYYB,2025-09-05,14.285714285714286,10.714285714285714,80.42857142857143,18.428571428571427
CYYC,2025-09-05,20.5,3.5,33,12
CYYG,2025-09-05,21,20,94,10.5
CYYJ,2025-09-05,18.5,14,75.5,8.5
CYYT,2025-09-05,11,11,100,6
CYYZ,2025-09-05,22.4,10.8,48.2,21.6
CYZF,2025-09-05,17,6.5,50.5,12
CYZV,2025-09-05,16,14,88,7
