icao,flight_category,count
CYAM,MVFR,3
CYAM,VFR,6
CYAT,MVFR,12
CYAT,VFR,2
CYBC,VFR,2
CYBK,VFR,2
CYBR,VFR,2
CYCO,VFR,2
CYEG,VFR,2
CYER,IFR,7
CYER,MVFR,4
CYFB,VFR,2
CYFC,VFR,2
CYGK,VFR,5
CYHU,VFR,2
CYHZ,IFR,2
CYHZ,LIFR,1
CYLW,VFR,2
CYMM,VFR,2
CYMO,MVFR,10
CYMO,VFR,2
CYOW,VFR,5
CYPL,MVFR,11
CYPL,VFR,1
CYQA,MVFR,1
CYQA,VFR,11
CYQB,VFR,2
CYQF,VFR,2
CYQG,VFR,5
CYQM,VFR,2
CYQQ,VFR,2
CYQR,VFR,2
CYQT,VFR,6
CYQY,VFR,2
CYRB,MVFR,2
CYRJ,VFR,2
CYRT,MVFR,2
CYSB,MVFR,4
CYSB,VFR,3
CYTS,IFR,2
CYTS,MVFR,8
CYUL,VFR,2
CYUY,MVFR,2
CYUY,VFR,1
CYVO,VFR,2
CYVR,VFR,2
CYVV,MVFR,5
CYVV,VFR,3
CYWG,VFR,2
CYXE,VFR,2
CYXS,VFR,2
CYXT,VFR,2
CYXY,VFR,2
CYYB,MVFR,6
CYYB,VFR,1
CYYC,VFR,2
CYYG,VFR,2
CYYJ,VFR,2
CYYT,LIFR,2
CYYZ,VFR,5
CYZF,VFR,2
CYZV,MVFR,2
